"Year","Entity Type","Entity Group","Entity Name","Department / Subdivision","Position","Elected Official","Judicial","Other Positions","Min Classification Salary","Max Classification Salary","Reported Base Wage","Regular Pay","Overtime Pay","Lump-Sum Pay","Other Pay","Total Wages","Defined Benefit Plan","Employees Retirement Cost Covered","Deferred Compensation Plan","Health Dental Vision","Total Retirement and Health Cost","Pension Formula","Entity URL","Entity Population","Last Updated"
"2012","City","","Arcadia","Recreation","Recreation Specialist(Pers)","","","","34852","42389","","27246","0","0","0","27246","4344","1907","0","0","6251","2.5% @55","http://www.ci.arcadia.ca.us/home/index.asp?page=648","56866","12/16/2013"
"2012","City","","Arcadia","Recreation","Recreation Specialist(Pers)","","","","34852","42389","","30278","0","0","0","30278","4767","2119","0","0","6886","2.5% @55","http://www.ci.arcadia.ca.us/home/index.asp?page=648","56866","12/16/2013"
"2012","City","","Arcadia","Recreation","Recreation Supervisor","","","","58068","72528","","65092","0","0","1456","66548","11692","4630","0","14433","30755","2.5% @55","http://www.ci.arcadia.ca.us/home/index.asp?page=648","56866","12/16/2013"
"2012","City","","Arcadia","Recreation","Recreation Supervisor","","","","58068","72528","","71700","0","0","2060","73760","12694","5019","0","14433","32146","2.5% @55","http://www.ci.arcadia.ca.us/home/index.asp?page=648","56866","12/16/2013"
"2012","City","","Arcadia","Recreation","Snr Cit Program Spec","","","","40020","49956","","30642","0","0","1046","31688","5609","2218","0","5353","13180","2.5% @55","http://www.ci.arcadia.ca.us/home/index.asp?page=648","56866","12/16/2013"
"2012","City","","Arcadia","Recreation","Sr Citizen Project Spec","","","","38076","47520","","25814","0","0","1104","26918","4710","1862","0","5353","11925","2.5% @55","http://www.ci.arcadia.ca.us/home/index.asp?page=648","56866","12/16/2013"
"2012","City","","Arcadia","Recreation","Sr. Admin Assistant","","","","45252","56496","","55854","0","0","2091","57945","10258","4056","0","10446","24760","2.5% @55","http://www.ci.arcadia.ca.us/home/index.asp?page=648","56866","12/16/2013"
"2012","City","","Arcadia","Redevelopment","Assistant City Manager/Dsd Dir.","","","","137832","172152","","170190","0","0","2074","172264","30315","11987","0","14433","56735","2.5% @55","http://www.ci.arcadia.ca.us/home/index.asp?page=648","56866","12/16/2013"
"2012","City","","Arcadia","Redevelopment","Economic Development Manager","","","","92856","115968","","114648","0","0","815","115463","20297","8025","0","14433","42755","2.5% @55","http://www.ci.arcadia.ca.us/home/index.asp?page=648","56866","12/16/2013"
"2012","City","","Arcadia","Water Department","Admin Intern","","","","23650","28746","","1427","0","0","0","1427","0","0","0","0","0","N/A","http://www.ci.arcadia.ca.us/home/index.asp?page=648","56866","12/16/2013"
"2012","City","","Arcadia","Water Department","Admin Intern","","","","23650","28746","","1063","0","0","0","1063","0","0","0","0","0","N/A","http://www.ci.arcadia.ca.us/home/index.asp?page=648","56866","12/16/2013"
"2012","City","","Arcadia","Water Department","Admin Intern","","","","23650","28746","","1427","0","0","0","1427","0","0","0","0","0","N/A","http://www.ci.arcadia.ca.us/home/index.asp?page=648","56866","12/16/2013"
"2012","City","","Arcadia","Water Department","Admin Intern","","","","23650","28746","","1063","0","0","0","1063","0","0","0","0","0","N/A","http://www.ci.arcadia.ca.us/home/index.asp?page=648","56866","12/16/2013"
"2012","City","","Arcadia","Water Department","Equipment Operator","","","","43812","54708","","54084","160","0","2457","56701","9974","3944","0","11337","25255","2.5% @55","http://www.ci.arcadia.ca.us/home/index.asp?page=648","56866","12/16/2013"
"2012","City","","Arcadia","Water Department","Equipment Operator","","","","43812","54708","","54084","1120","0","2419","57623","9974","3944","0","11179","25097","2.5% @55","http://www.ci.arcadia.ca.us/home/index.asp?page=648","56866","12/16/2013"
"2012","City","","Arcadia","Water Department","Equipment Operator","","","","43812","54708","","54084","319","0","1568","55971","9881","3907","0","11118","24906","2.5% @55","http://www.ci.arcadia.ca.us/home/index.asp?page=648","56866","12/16/2013"
"2012","City","","Arcadia","Water Department","Equipment Operator","","","","43812","54708","","45540","848","0","2649","49037","8369","3309","0","11337","23015","2.5% @55","http://www.ci.arcadia.ca.us/home/index.asp?page=648","56866","12/16/2013"
"2012","City","","Arcadia","Water Department","Equipment Operator","","","","43812","54708","","53275","1907","0","1046","56228","9642","3814","0","11337","24793","2.5% @55","http://www.ci.arcadia.ca.us/home/index.asp?page=648","56866","12/16/2013"
"2012","City","","Arcadia","Water Department","Equipment Operator","","","","43812","54708","","44336","2567","0","1015","47918","7878","3115","0","11118","22111","2.5% @55","http://www.ci.arcadia.ca.us/home/index.asp?page=648","56866","12/16/2013"
"2012","City","","Arcadia","Water Department","Laborer","","","","22526","27373","","282","0","0","0","282","0","0","0","0","0","N/A","http://www.ci.arcadia.ca.us/home/index.asp?page=648","56866","12/16/2013"
"2012","City","","Arcadia","Water Department","Maintenance Worker","","","","36876","46032","","45510","102","0","1046","46658","8271","3270","0","11118","22659","2.5% @55","http://www.ci.arcadia.ca.us/home/index.asp?page=648","56866","12/16/2013"
"2012","City","","Arcadia","Water Department","Maintenance Worker","","","","36876","46032","","45510","2735","0","2855","51100","8271","3270","0","11118","22659","2.5% @55","http://www.ci.arcadia.ca.us/home/index.asp?page=648","56866","12/16/2013"
"2012","City","","Arcadia","Water Department","Maintenance Worker","","","","36876","46032","","44336","2001","0","579","46916","7878","3115","0","11337","22330","2.5% @55","http://www.ci.arcadia.ca.us/home/index.asp?page=648","56866","12/16/2013"
"2012","City","","Arcadia","Water Department","Maintenance Worker","","","","36876","46032","","40230","184","0","0","40414","7151","2828","0","11244","21223","2.5% @55","http://www.ci.arcadia.ca.us/home/index.asp?page=648","56866","12/16/2013"
"2012","City","","Arcadia","Water Department","Maintenance Worker","","","","36876","46032","","45946","1145","0","1328","48419","8167","3228","0","11337","22732","2.5% @55","http://www.ci.arcadia.ca.us/home/index.asp?page=648","56866","12/16/2013"
"2012","City","","Arcadia","Water Department","Maintenance Worker","","","","36876","46032","","38077","14","0","0","38091","7415","5","0","11118","18538","2.5% @55","http://www.ci.arcadia.ca.us/home/index.asp?page=648","56866","12/16/2013"
"2012","City","","Arcadia","Water Department","Utilities Crew Supervisor","","","","54708","68328","","67548","199","0","4719","72466","12358","4886","0","11337","28581","2.5% @55","http://www.ci.arcadia.ca.us/home/index.asp?page=648","56866","12/16/2013"
"2012","City","","Arcadia","Water Department","Utilities Crew Supervisor","","","","54708","68328","","67548","0","0","2091","69639","12358","4886","0","11179","28423","2.5% @55","http://www.ci.arcadia.ca.us/home/index.asp?page=648","56866","12/16/2013"
"2012","City","","Arcadia","Water Department","Utilities Crew Supervisor","","","","54708","68328","","67548","152","0","2463","70163","12358","4886","0","11179","28423","2.5% @55","http://www.ci.arcadia.ca.us/home/index.asp?page=648","56866","12/16/2013"
"2012","City","","Arcadia","Water Department","Utilities Crew Supervisor","","","","54708","68328","","54084","5276","0","5831","65191","9881","3907","0","11337","25125","2.5% @55","http://www.ci.arcadia.ca.us/home/index.asp?page=648","56866","12/16/2013"
"2012","City","","Arcadia","Water Department","Utilities Crew Supervisor","","","","54708","68328","","67548","2157","0","1568","71273","12265","4850","0","11337","28452","2.5% @55","http://www.ci.arcadia.ca.us/home/index.asp?page=648","56866","12/16/2013"
"2012","City","","Arcadia","Water Department","Utilities Superintendent","","","","84132","105060","","103480","0","0","6827","110307","18687","7390","0","14433","40510","2.5% @55","http://www.ci.arcadia.ca.us/home/index.asp?page=648","56866","12/16/2013"
"2012","City","","Arcadia","Water Department","Water Production Crew Chief","","","","54708","68328","","67685","6220","0","7604","81509","12288","4859","0","9804","26951","2.5% @55","http://www.ci.arcadia.ca.us/home/index.asp?page=648","56866","12/16/2013"
"2012","City","","Arcadia","Water Department","Water Production Tech II","","","","47196","58908","","58236","0","0","1568","59804","10616","4198","0","11179","25993","2.5% @55","http://www.ci.arcadia.ca.us/home/index.asp?page=648","56866","12/16/2013"
"2012","City","","Arcadia","Water Department","Water Production Tech II","","","","47196","58908","","54774","7925","0","4784","67483","9906","3919","0","11118","24943","2.5% @55","http://www.ci.arcadia.ca.us/home/index.asp?page=648","56866","12/16/2013"
"2012","City","","Arcadia","Water Department","Water Quality/Backflow","","","","60384","75396","","66800","1674","0","3332","71806","12034","4761","0","11337","28132","2.5% @55","http://www.ci.arcadia.ca.us/home/index.asp?page=648","56866","12/16/2013"
"2012","City","","Arcata","A&MRTS","Bus Driver","","","","29022","35277","","15579","0","0","0","15579","0","0","0","0","0","N/A","www.cityofarcata.org/departments/personnel-human-resources","17836","12/16/2013"
"2012","City","","Arcata","A&MRTS","Bus Driver","","","","29022","35277","","15634","0","0","0","15634","0","0","0","0","0","N/A","www.cityofarcata.org/departments/personnel-human-resources","17836","12/16/2013"
"2012","City","","Arcata","A&MRTS","Bus Driver","","","","29022","35277","","15617","0","0","0","15617","0","0","0","0","0","N/A","www.cityofarcata.org/departments/personnel-human-resources","17836","12/16/2013"
"2012","City","","Arcata","A&MRTS","Bus Driver","","","","29022","35277","","13289","0","0","0","13289","0","0","0","0","0","N/A","www.cityofarcata.org/departments/personnel-human-resources","17836","12/16/2013"
"2012","City","","Arcata","A&MRTS","Bus Driver","","","","29022","35277","","17487","0","0","0","17487","0","0","0","0","0","N/A","www.cityofarcata.org/departments/personnel-human-resources","17836","12/16/2013"
"2012","City","","Arcata","A&MRTS","Bus Driver","","","","29022","35277","","13854","0","0","0","13854","0","0","0","0","0","N/A","www.cityofarcata.org/departments/personnel-human-resources","17836","12/16/2013"
"2012","City","","Arcata","A&MRTS","Bus Driver","","","","29022","35277","","13020","0","0","0","13020","0","0","0","0","0","N/A","www.cityofarcata.org/departments/personnel-human-resources","17836","12/16/2013"
"2012","City","","Arcata","A&MRTS","Bus Driver","","","","29022","35277","","774","0","0","0","774","0","0","0","0","0","N/A","www.cityofarcata.org/departments/personnel-human-resources","17836","12/16/2013"
"2012","City","","Arcata","A&MRTS","Bus Driver","","","","29022","35277","","14137","0","0","0","14137","0","0","0","0","0","N/A","www.cityofarcata.org/departments/personnel-human-resources","17836","12/16/2013"
"2012","City","","Arcata","A&MRTS","Bus Driver","","","","29022","35277","","8132","0","0","0","8132","0","0","0","0","0","N/A","www.cityofarcata.org/departments/personnel-human-resources","17836","12/16/2013"
"2012","City","","Arcata","A&MRTS","Bus Driver","","","","29022","35277","","11279","0","0","0","11279","0","0","0","0","0","N/A","www.cityofarcata.org/departments/personnel-human-resources","17836","12/16/2013"
"2012","City","","Arcata","A&MRTS","Bus Driver/Transit Assistant","","","","32723","39774","","39427","0","0","540","39967","0","0","540","0","540","2.7%@55","www.cityofarcata.org/departments/personnel-human-resources","17836","12/16/2013"
"2012","City","","Arcata","A&MRTS","Public Transportation Coordinator","","","","44125","44125","","43585","1338","849","1809","47581","10060","0","540","7052","17652","2.7%@55","www.cityofarcata.org/departments/personnel-human-resources","17836","12/16/2013"
"2012","City","","Arcata","City Manager","City Manager","","","","135000","135000","","138941","0","13085","11243","163269","31901","0","6997","20271","59169","2.7%@55","www.cityofarcata.org/departments/personnel-human-resources","17836","12/16/2013"
"2012","City","","Arcata","City Manager","City Manager's Office Administrative Assistant/Deputy City Clerk","","","","44204","53731","","51022","0","30","540","51592","12250","0","540","19802","32592","2.7%@55","www.cityofarcata.org/departments/personnel-human-resources","17836","12/16/2013"
